transientid,ML_PROB
1362988,1.0
730230,1.0
1248826,0.99999595
1871534,1.0
209100,1.0
2669675,0.9991671
324814,1.0
2902730,1.0
2232640,1.0
5233,0.9998254
282497,1.0
926117,0.9548991
1999019,1.0
248368,0.9999999
863923,0.868345
215859,1.0
393788,1.0
537087,0.99999976
1350480,0.999997
2558836,1.0
1193186,1.0
2119169,1.0
37457,1.0
1998911,1.0
565239,1.0
239640,1.0
2665877,1.0
721137,1.0
410978,1.0
929058,0.999998
1719904,1.0
2081976,1.0
2549437,1.0
2908891,1.0
393299,0.98677945
573146,1.0
859306,1.0
962495,1.0
562873,1.0
1618421,1.0
227526,1.0
1875562,1.0
224143,1.0
835969,1.0
204720,1.0
1350308,0.91736615
2203884,1.0
2089339,1.0
622953,0.9999949
7028,1.0
9329,0.99995184
2683979,0.52062464
1097765,0.85586345
2577563,1.0
7045,0.99999785
1622438,1.0
2059775,1.0
2057555,1.0
1052442,1.0
1997607,1.0
1923071,1.0
931281,0.9923637
1313384,0.99999976
772828,1.0
1507713,1.0
2683671,1.0
2703650,1.0
2120205,1.0
801056,1.0
1188801,0.9999924
2628278,1.0
1923177,1.0
6071,0.9999888
2281808,1.0
239885,1.0
2169339,1.0
770512,1.0
541119,1.0
1663091,0.9999999
2427465,1.0
798839,1.0
497549,0.9996747
2651161,0.999244
799347,1.0
2671390,1.0
794910,1.0
853973,1.0
532081,1.0
1468965,1.0
211835,1.0
381886,1.0
222982,1.0
2345403,1.0
386141,1.0
1744981,1.0
1089771,1.0
745025,1.0
1873253,1.0
1954502,0.999907
534061,0.9989304
1816828,1.0
644327,1.0
1628072,0.99999833
629119,1.0
5923,0.9998018
2553391,1.0
499946,1.0
2894918,1.0
505786,0.7229654
1872018,1.0
535451,0.99634004
2063000,1.0
1597919,1.0
2996948,1.0
925674,0.99997175
1362943,1.0
198412,1.0
27259,1.0
1121483,1.0
2203978,1.0
733880,1.0
1204618,1.0
2123241,1.0
1628618,1.0
1923329,0.9999999
1817608,1.0
1237786,1.0
928932,0.99999976
2133474,1.0
533591,1.0
2060943,1.0
1467546,1.0
182676,1.0
1984162,1.0
1098161,1.0
751999,1.0
1997652,1.0
19062,1.0
239801,1.0
1257674,0.9997632
2185973,1.0
6204,1.0
2649656,1.0
1310402,1.0
733676,1.0
2678476,1.0
7911,1.0
2206973,1.0
925569,0.99999976
635818,1.0
2339435,1.0
2669455,1.0
1746416,1.0
1637624,1.0
1053463,1.0
1625677,1.0
596976,1.0
2057539,1.0
780415,1.0
621185,1.0
1199032,1.0
863044,1.0
527835,0.99962795
2057549,1.0
244243,1.0
420678,0.9999993
2499570,1.0
580003,1.0
1638002,1.0
221101,1.0
779786,1.0
416505,1.0
1636102,1.0
394965,1.0
2637724,0.99999964
1628675,0.9991997
1328188,0.99999917
2185950,1.0
1809280,1.0
1637649,1.0
2203911,1.0
386234,1.0
3000905,1.0
2462016,1.0
649435,1.0
977740,1.0
1469290,1.0
395660,0.9873905
3001483,1.0
1811691,1.0
1997638,1.0
537438,1.0
266325,1.0
1467649,1.0
348868,1.0
1180020,1.0
1383646,0.99980456
565572,1.0
973726,0.9999999
1400040,0.9658098
581214,1.0
733975,1.0
6185,0.9999989
8605,1.0
2460298,1.0
803013,1.0
399826,0.99992514
1810434,1.0
639524,0.9983719
1089648,0.99999905
1362977,0.99962807
512974,1.0
2895533,1.0
735218,1.0
325256,1.0
401582,0.99892753
2057537,1.0
1874556,1.0
211810,1.0
977796,1.0
1469311,1.0
1333581,0.9836044
736010,1.0
1998967,1.0
2671027,1.0
413435,1.0
781180,1.0
417317,0.9985355
786947,1.0
2151493,1.0
926979,1.0
